attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Dartmouth Museum,SW,Devon,South Hams,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,9201,8843,8040,8301,9845,Paid,Under £3.00,"10,000 or less"
D-Day Museum,SE,Hampshire,Portsmouth,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,54765,65000,76000,80070,65092,Paid,£5.00 to £7.49,"50,001-100,000"
de Havilland Aircraft Heritage Centre,EAST,Hertfordshire,St Albans,Rural,Museums & Art Galleries,Museum and / or Art Gallery,8146,8005,10395,9296,10411,Paid,£7.50 to £9.99,"10,001-20,000"
Deal Castle,SE,Kent,Dover,Coastal,Historic Properties,Castle / Fort,36534,32453,35598,35585,38740,Paid,£5.00 to £7.49,"20,001-50,000"
Deal Maritime & Local History Museum,SE,Kent,Dover,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,750,1000,1589,2356,2288,Paid,Under £3.00,"10,000 or less"
Deben Cruises,EAST,SUFFOLK,Suffolk Coastal,Coastal,Other,Other Historic / Scenic transport operator,6000,1800,2490,3500,4200,Paid,£10.00 or over,"10,000 or less"
Deen City Farm and Riding School,LON,GREATER LONDON,Merton,Urban,Farms,Farm / Rare Breeds / Farm Animals,59000,60000,60000,60000,62000,Free,Free,"50,001-100,000"
Department of Earth Sciences Geology Collections,LON,GREATER LONDON,Camden,Urban,Museums & Art Galleries,Museum and / or Art Gallery,150,150,450,500,562,Free,Free,"10,000 or less"
Rochester Cathedral,SE,Kent,Medway,Urban,Places of Worship,Place of Worship (still in use),156200,173000,143311,138996,148719,Free,Free,"100,001-200,000"
Dewsbury Museum,Y&H,WEST YORKSHIRE,Kirklees,Urban,Museums & Art Galleries,Museum and / or Art Gallery,29999,31000,25000,20568,21228,Free,Free,"20,001-50,000"
Didcot Railway Centre,SE,Oxfordshire,South Oxfordshire,Urban,Museums & Art Galleries,Museum and / or Art Gallery,35000,38459,42587,47102,45856,Paid,£5.00 to £7.49,"20,001-50,000"
DIG,Y&H,NORTH YORKSHIRE,York,Urban,Museums & Art Galleries,Museum and / or Art Gallery,45341,48767,53280,51768,44214,Free,Free,"20,001-50,000"
Dinosaur Adventure,EAST,Norfolk,Broadland,Rural,Leisure / Theme Parks,Leisure / Theme Park,210000,220000,222388,261808,259000,Paid,£10.00 or over,"Over 200,000"
Dinosaur Isle,SE,Isle of Wight,Isle of Wight,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,68400,62617,72106,75152,73159,Paid,Charge - DK,"50,001-100,000"
Discovery Museum,NE,Tyne and Wear,Newcastle upon Tyne,Urban,Museums & Art Galleries,Museum and / or Art Gallery,417229,430499,401540,434203,411695,Free,Free,"Over 200,000"
Ditton Heritage Centre Ltd,SE,Kent,Aylesford,Urban,Visitor Centres,Heritage / Visitor Centre,155,165,180,200,300,Paid,Under £3.00,"10,000 or less"
Doctor Johnson's House,LON,GREATER LONDON,City of London,Urban,Historic Properties,Historic House / House and Garden / Palace,12279,11845,13879,13921,15592,Paid,£3.01 to £4.99,"10,001-20,000"
Docwra's Manor Garden,EAST,CAMBRIDGESHIRE,South Cambridgeshire,Rural,Gardens,Garden,1086,631,925,1023,1144,Paid,£5.00 to £7.49,"10,000 or less"
Doddington Hall & Gardens,EM,Lincolnshire,North Kesteven,Rural,Historic Properties,Historic House / House and Garden / Palace,14990,19474,14028,20987,16922,Paid,£7.50 to £9.99,"10,001-20,000"
Donald McGill Postcard Museum,SE,Isle of Wight,Isle of Wight,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,5000,4900,3500,2841,2649,Paid,Under £3.00,"10,000 or less"
Dorfold Hall,NW,Cheshire,Cheshire East,Rural,Historic Properties,Historic House / House and Garden / Palace,665,469,493,390,462,Paid,£5.00 to £7.49,"10,000 or less"
Dorking and District Museum,SE,Surrey,Mole Valley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1000,1173,2000,3354,2718,Paid,Under £3.00,"10,000 or less"
Dorney Court,SE,Buckinghamshire,South Bucks,Urban,Historic Properties,Historic House / House and Garden / Palace,1800,2000,2016,2440,2290,Paid,£7.50 to £9.99,"10,000 or less"
Dorothy Clive Garden,WM,Staffordshire,Newcastle-under-Lyme,Rural,Gardens,Garden,30396,22269,24912,25252,26423,Paid,£5.00 to £7.49,"20,001-50,000"
Dover Castle,SE,Kent,Dover,Coastal,Historic Properties,Castle / Fort,355499,325325,340410,345281,331480,Paid,£10.00 or over,"Over 200,000"
Down House - Home of Charles Darwin,LON,Greater London,Bromley,Rural,Historic Properties,Historic House / House and Garden / Palace,44759,41624,43144,47436,52029,Paid,£10.00 or over,"50,001-100,000"
Downton Moot,SW,Wiltshire,Wiltshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,10000,10000,10000,10000,10000,Free,Free,"10,000 or less"
Dr Jenner's House,SW,Gloucestershire,Stroud,Rural,Museums & Art Galleries,Museum and / or Art Gallery,6254,5839,5026,2718,2921,Paid,£5.00 to £7.49,"10,000 or less"
Drayton Manor Theme Park,WM,Staffordshire,Lichfield,Rural,Leisure / Theme Parks,Leisure / Theme Park,850000,900000,1000000,1064835,1210141,Paid,£10.00 or over,"Over 200,000"
Dudmaston Hall,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic House / House and Garden / Palace,54406,45954,71755,82927,81536,Paid,£7.50 to £9.99,"50,001-100,000"
Dulverton Guildhall Heritage and Arts,SW,Somerset,West Somerset,Rural,Visitor Centres,Heritage / Visitor Centre,14000,13000,12787,12202,11611,Free,Free,"10,001-20,000"
Dunham Massey Hall,NW,Greater Manchester,Trafford,Rural,Historic Properties,Historic House / House and Garden / Palace,225300,219720,228819,337687,277325,Paid,£10.00 or over,"Over 200,000"
Dunmow Maltings & Museum,EAST,Essex,Dunmow,Urban,Historic Properties,Other Historic Property,900,800,700,650,610,Paid,Under £3.00,"10,000 or less"
Dunstanburgh Castle,NE,Northumberland,Northumberland,Coastal,Historic Properties,Castle / Fort,31874,34163,36942,39672,44245,Paid,£3.01 to £4.99,"20,001-50,000"
Dunster Castle,SW,Somerset,West Somerset,Rural,Historic Properties,Castle / Fort,137463,146000,146630,149564,166000,Paid,£10.00 or over,"100,001-200,000"
Durham Castle,NE,County Durham,Durham,Urban,Historic Properties,Castle / Fort,12766,14000,16355,17356,28799,Paid,£5.00 to £7.49,"20,001-50,000"
"St John the Baptist, Cirencester",SW,Gloucestershire,Cotswold,Urban,Places of Worship,Place of Worship (still in use),155000,150000,140000,133000,130000,Free,Free,"100,001-200,000"
Durham Museum and Heritage Centre,NE,County Durham,Durham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,8130,8062,9855,7870,7670,Paid,Under £3.00,"10,000 or less"
Durham Town Hall,NE,County Durham,,Urban,Historic Properties,Other Historic Property,DK,3476,3320,7000,7500,Free,Free,"10,000 or less"
Durlston Country Park National Nature Reserve,SW,Dorset,Purbeck,Coastal,Country Parks,Country Park,250000,250500,250000,260000,260000,Free,Free,"Over 200,000"
Dutch Cottage Museum,EAST,Essex,Castle Point,Urban,Museums & Art Galleries,Museum and / or Art Gallery,647,550,777,348,300,Free,Free,"10,000 or less"
Dyrham Park,SW,Gloucestershire,South Gloucestershire,Rural,Historic Properties,Historic House / House and Garden / Palace,164973,150798,167337,190981,217805,Paid,£10.00 or over,"Over 200,000"
East Anglia Transport Museum,EAST,Suffolk,Waveney,Rural,Museums & Art Galleries,Museum and / or Art Gallery,16131,17334,16517,14493,18888,Paid,£7.50 to £9.99,"10,001-20,000"
East Dartmoor National Nature Reserve,SW,Devon,Teignbridge,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,70000,70000,80000,90000,100000,Free,Free,"50,001-100,000"
East Durham Heritage and Lifeboat Centre,NE,County Durham,,Coastal,Visitor Centres,Heritage / Visitor Centre,18500,19000,19500,20000,20000,Free,Free,"10,001-20,000"
East Durham Heritage and Lifeboat Centre,NE,County Durham,,Coastal,Visitor Centres,Heritage / Visitor Centre,21000,20050,20000,15000,10000,Free,Free,"10,000 or less"
Shipwreck Museum,SE,East Sussex,Hastings,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,52763,74019,78659,81161,85140,Free,Free,"50,001-100,000"
East Kent Railway,SE,Kent,Dover,Rural,Railways,Steam / Heritage Railway,3174,5000,7000,10000,10000,Paid,£5.00 to £7.49,"10,000 or less"
East Lancashire Railway,NW,Greater Manchester,Bury,Urban,Railways,Steam / Heritage Railway,143052,144033,147726,157540,160675,Paid,£10.00 or over,"100,001-200,000"
East Somerset Railway,SW,Somerset,Mendip,Rural,Railways,Steam / Heritage Railway,15000,16000,17000,17700,17700,Paid,£7.50 to £9.99,"10,001-20,000"
Eastleigh Lakeside Steam Railway,SE,Hampshire,Eastleigh,Urban,Railways,Steam / Heritage Railway,44000,45000,40000,41500,40421,Paid,£3.01 to £4.99,"20,001-50,000"
Eastnor Castle,WM,Herefordshire,Herefordshire,Rural,Historic Properties,Castle / Fort,29870,35207,39652,42406,42021,Paid,£10.00 or over,"20,001-50,000"
Easton Walled Gardens,EM,Lincolnshire,South Kesteven,Rural,Gardens,Garden,13900,12191,12954,15858,17458,Paid,£5.00 to £7.49,"10,001-20,000"
Eden Project,SW,Cornwall,Cornwall,Rural,Gardens,Garden,1001774,953688,858897,867362,960029,Paid,£10.00 or over,"Over 200,000"
Elizabethan House Museum,EAST,Norfolk,Great Yarmouth,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7000,8000,9000,9721,10418,Paid,£3.01 to £4.99,"10,001-20,000"
Ellenroad Engine House,NW,Greater Manchester,Rochdale,Urban,Museums & Art Galleries,Museum and / or Art Gallery,3000,3100,3000,3000,3000,Paid,£5.00 to £7.49,"10,000 or less"
Elsham Hall Gardens & Country Park,EM,Lincolnshire,North Lincolnshire,Rural,Country Parks,Country Park,17012,16637,21064,19725,19383,Paid,£5.00 to £7.49,"10,001-20,000"
Eltham Palace,LON,Greater London,Greenwich,Urban,Historic Properties,Historic House / House and Garden / Palace,59275,60804,61999,60368,95845,Paid,£10.00 or over,"50,001-100,000"
Ely Museum,EAST,Cambridgeshire,East Cambridgeshire,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10989,10669,11397,10659,9982,Paid,£3.01 to £4.99,"10,000 or less"
Emmetts Garden,SE,Kent,Sevenoaks,Rural,Gardens,Garden,76484,60400,79591,86472,91516,Paid,£7.50 to £9.99,"50,001-100,000"
Erasmus Darwin House,WM,Staffordshire,Lichfield,Urban,Historic Properties,Historic House / House and Garden / Palace,7000,8000,10386,9123,15926,Free,Free,"10,001-20,000"
Essex County Fire and Rescue Service Museum,EAST,Essex,,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4000,4500,5000,5458,6452,Paid,Charge - DK,"10,000 or less"
Etal Castle,NE,Northumberland,Northumberland,Rural,Historic Properties,Castle / Fort,9598,9242,11406,8709,7606,Paid,£3.01 to £4.99,"10,000 or less"
Eureka! The National Children's Museum,Y&H,West Yorkshire,Calderdale,Urban,Museums & Art Galleries,Museum and / or Art Gallery,254241,275685,274870,302460,289829,Paid,£10.00 or over,"Over 200,000"
Exbury Gardens and Steam Railway,SE,Hampshire,New Forest,Rural,Gardens,Garden,122193,83633,81671,77100,81983,Paid,£10.00 or over,"50,001-100,000"
Exmoor Zoological Park,SW,Devon,North Devon,Rural,Wildlife,Safari Park / Zoo / Aquarium / Aviary,46244,44142,41492,49569,48713,Paid,£10.00 or over,"20,001-50,000"
Exmouth Museum,SW,Devon,East Devon,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,1400,1500,1609,1848,1765,Paid,Under £3.00,"10,000 or less"
Eyam Museum,EM,Derbyshire,Derbyshire Dales,Rural,Museums & Art Galleries,Museum and / or Art Gallery,26179,27000,28000,34213,32500,Paid,Under £3.00,"20,001-50,000"
Eye Castle,EAST,SUFFOLK,Mid Suffolk,Rural,Historic Properties,Castle / Fort,8000,7500,8500,8600,8000,Free,Free,"10,000 or less"
Fairhaven Woodland and Water Garden,EAST,Norfolk,Broadland,Rural,Gardens,Garden,34842,31139,29709,29168,27828,Paid,£5.00 to £7.49,"20,001-50,000"
Fairytale Farm,SE,Oxfordshire,West Oxfordshire,Rural,Farms,Farm / Rare Breeds / Farm Animals,10000,11000,11221,12035,18745,Paid,£5.00 to £7.49,"10,001-20,000"
Falmouth Art Gallery,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,42068,39510,41000,42331,47438,Free,Free,"20,001-50,000"
Faringdon Folly,SE,Oxfordshire,Vale of White Horse,Rural,Visitor Centres,Heritage / Visitor Centre,2800,2900,3000,3200,2975,Paid,Under £3.00,"10,000 or less"
Farleigh Hungerford Castle,SW,Somerset,Mendip,Rural,Historic Properties,Castle / Fort,17224,14367,15224,15197,15105,Paid,£3.01 to £4.99,"10,001-20,000"
Farley Farm House Tours,SE,East Sussex,Wealden,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2818,3000,3390,3500,3600,Paid,£7.50 to £9.99,"10,000 or less"
Farmer Gow's,SE,Oxfordshire,Vale of White Horse,Rural,Farms,Farm / Rare Breeds / Farm Animals,21880,26800,27000,26000,27000,Paid,£7.50 to £9.99,"20,001-50,000"
The Nature Discovery Centre,SE,Berkshire,West Berkshire,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,85165,90340,85645,80359,76416,Free,Free,"50,001-100,000"
Farnborough Hall,WM,Warwickshire,Stratford-on-Avon,Rural,Historic Properties,Historic House / House and Garden / Palace,5043,4263,4539,4782,5105,Paid,Charge - DK,"10,000 or less"
Portsmouth City Museum,SE,Hampshire,Portsmouth,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,63747,DK,DK,84441,69935,Free,Free,"50,001-100,000"
Fashion Museum,SW,Somerset,Bath and North East Somerset,Urban,Museums & Art Galleries,Museum and / or Art Gallery,134989,118943,98591,93978,90880,Paid,£7.50 to £9.99,"50,001-100,000"
Feering & Kelvedon Local History Museum,EAST,ESSEX,Braintree,Rural,Museums & Art Galleries,Museum and / or Art Gallery,560,596,572,658,618,Free,Free,"10,000 or less"
Feeringbury Manor,EAST,ESSEX,Braintree,Rural,Gardens,Garden,500,601,702,678,670,Paid,£5.00 to £7.49,"10,000 or less"
"Felbrigg Hall, Garden and Park",EAST,Norfolk,North Norfolk,Rural,Historic Properties,Historic House / House and Garden / Palace,98372,99157,102350,110947,115285,Paid,£7.50 to £9.99,"100,001-200,000"
Ferens Art Gallery,Y&H,EAST RIDING OF YORKSHIRE,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,159374,156137,135656,126838,71836,Free,Free,"50,001-100,000"
Ferry Meadows,EAST,Cambridgeshire,Peterborough,Urban,Country Parks,Country Park,986264,937194,950030,1099011,1133972,Free,Free,"Over 200,000"
Filey Museum,Y&H,NORTH YORKSHIRE,Scarborough,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,2752,2331,2060,2064,2354,Paid,Under £3.00,"10,000 or less"
Finch Foundry,SW,DEVON,West Devon,Rural,Museums & Art Galleries,Museum and / or Art Gallery,21008,17800,16874,16232,16873,Paid,£5.00 to £7.49,"10,001-20,000"
Hastings Museum and Art Gallery,SE,East Sussex,Hastings,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,35766,38452,39157,43168,43582,Free,Free,"20,001-50,000"
Fishers Adventure Farm Park,SE,West Sussex,Chichester,Rural,Leisure / Theme Parks,Leisure / Theme Park,129092,122492,129889,178398,177151,Paid,£10.00 or over,"100,001-200,000"
Fitzwilliam Museum,EAST,Cambridgeshire,Cambridge,Urban,Museums & Art Galleries,Museum and / or Art Gallery,398444,424455,337793,323019,417781,Free,Free,"Over 200,000"
Flamborough Cliffs Nature Reserves,Y&H,EAST RIDING OF YORKSHIRE,,Coastal,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,70000,80000,90000,100000,100000,Free,Free,"50,001-100,000"
Flamingo Land Theme Park and Zoo,Y&H,NORTH YORKSHIRE,Ryedale,Rural,Leisure / Theme Parks,Leisure / Theme Park,1427193,1512824,1521901,1536279,1470828,Paid,£10.00 or over,"Over 200,000"
Fleet Air Arm Museum,SW,Somerset,South Somerset,Rural,Museums & Art Galleries,Museum and / or Art Gallery,106612,108577,107754,108469,110084,Paid,£10.00 or over,"100,001-200,000"
Fleur de Lis Heritage Centre,SE,Kent,Swale,Urban,Museums & Art Galleries,Museum and / or Art Gallery,23456,10275,9810,9546,9290,Paid,£5.00 to £7.49,"10,000 or less"
Flintham Museum,EM,Nottinghamshire,Rushcliffe,Rural,Museums & Art Galleries,Museum and / or Art Gallery,900,900,655,984,1050,Free,Free,"10,000 or less"
Ford Green Hall,WM,Staffordshire,Stoke-on-Trent,Urban,Historic Properties,Historic House / House and Garden / Palace,9415,9000,8000,7644,11607,Paid,Charge - DK,"10,001-20,000"
Forge Mill Farm,WM,WEST MIDLANDS,Sandwell,Urban,Farms,Farm / Rare Breeds / Farm Animals,90000,83000,83687,101645,99348,Free,Free,"50,001-100,000"
Foulness Heritage Centre,EAST,Essex,Rochford,Rural,Visitor Centres,Heritage / Visitor Centre,3000,2500,2500,3250,2500,Free,Free,"10,000 or less"
Fountains Abbey,Y&H,North Yorkshire,Harrogate,Rural,Historic Properties,Other Historic Property,350562,330096,347537,372187,376100,Paid,£10.00 or over,"Over 200,000"
Framlingham Castle,EAST,Suffolk,Suffolk Coastal,Rural,Historic Properties,Castle / Fort,69485,65802,67214,69003,74335,Paid,£5.00 to £7.49,"50,001-100,000"
Fry Art Gallery,EAST,Essex,Uttlesford,Rural,Museums & Art Galleries,Museum and / or Art Gallery,10900,9200,9600,7000,10150,Free,Free,"10,001-20,000"
Furness Abbey,NE,Tyne and Wear,Newcastle upon Tyne,Rural,Historic Properties,Historic Monument/ Archaeological Site,8509,8697,8837,11373,11637,Paid,£3.01 to £4.99,"10,001-20,000"
Fursdon House,SW,Devon,Mid Devon,Rural,Historic Properties,Historic House / House and Garden / Palace,2000,1800,1800,1839,1583,Paid,£7.50 to £9.99,"10,000 or less"
The Cathedral Chuch of St. Nicholas,NE,Tyne and Wear,Newcastle upon Tyne,Urban,Places of Worship,Place of Worship (still in use),50000,55000,55000,75000,86000,Free,Free,"50,001-100,000"
Galleries of Justice Museum,EM,Nottinghamshire,Nottingham City,Urban,Museums & Art Galleries,Museum and / or Art Gallery,32919,32391,41611,42901,44600,Paid,£7.50 to £9.99,"20,001-50,000"
Gamlingay Wood,EAST,Cambridgeshire,South Cambridgeshire,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,40000,40000,20000,20000,20000,Free,Free,"10,001-20,000"
Gawthorpe Hall,NW,Lancashire,Burnley,Urban,Historic Properties,Historic House / House and Garden / Palace,24940,25109,26126,24483,3727,Paid,£3.01 to £4.99,"10,000 or less"
Geevor Tin Mine,SW,Cornwall,Cornwall,Coastal,Visitor Centres,Heritage / Visitor Centre,38187,37855,34081,35471,43253,Paid,£10.00 or over,"20,001-50,000"
Geffrye Museum,LON,Greater London,Hackney,Urban,Museums & Art Galleries,Museum and / or Art Gallery,106807,110000,113806,111143,111235,Free,Free,"100,001-200,000"
George Stephenson's Birthplace,NE,Northumberland,Northumberland,Rural,Historic Properties,Historic House / House and Garden / Palace,6432,5478,5882,5656,4451,Paid,Charge - DK,"10,000 or less"
Gibside,NE,Tyne and Wear,Gateshead,Rural,Country Parks,Country Park,155730,165550,196021,237588,228784,Paid,£7.50 to £9.99,"Over 200,000"
Glendurgan Garden,SW,Cornwall,Cornwall,Rural,Gardens,Garden,73301,70136,77000,85023,85143,Paid,£5.00 to £7.49,"50,001-100,000"
Gloucester Waterways Museum,NW,Gloucestershire,Gloucester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,20074,23293,24266,30000,30000,Paid,£5.00 to £7.49,"20,001-50,000"
Go Ape! Battersea Park,LON,Greater London,,Urban,Country Parks,Country Park,1800,1900,2000,2100,2162,Paid,Charge - DK,"10,000 or less"
Go Ape! Crawley,SE,West Sussex,,Rural,Country Parks,Country Park,36000,37000,38000,39000,40900,Paid,Charge - DK,"20,001-50,000"
Go Ape! High Wire Forest Adventure - Bedgebury,SE,Kent,Tunbridge Wells,Rural,Country Parks,Country Park,19552,20272,18484,30000,34968,Paid,£10.00 or over,"20,001-50,000"
Go Ape! High Wire Forest Adventure - Dalby,Y&H,North Yorkshire,Ryedale,Rural,Country Parks,Country Park,24055,25756,24708,35000,43429,Paid,£10.00 or over,"20,001-50,000"
Go Ape! High Wire Forest Adventure - Moors Valley,SW,Dorset,East Dorset,Rural,Country Parks,Country Park,26295,25865,56877,56000,55615,Paid,£10.00 or over,"50,001-100,000"
Go Ape! Hire Wire Forest Adventure - Delamere,NW,Cheshire,Cheshire West And Chester,Rural,Country Parks,Country Park,21148,17243,22140,30000,41252,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Alice Holt,SE,Hampshire,East Hampshire,Rural,Country Parks,Country Park,18695,16055,25597,35000,40032,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Black Park,SE,Buckinghamshire,South Bucks,Rural,Country Parks,Country Park,19831,16805,21971,40000,55569,Paid,£10.00 or over,"50,001-100,000"
Go Ape! Tree Top Adventure - Bracknell,SE,Berkshire,Bracknell Forest,Rural,Country Parks,Country Park,27331,27704,34056,32000,31984,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Buxton,EM,Derbyshire,High Peak,Rural,Country Parks,Country Park,12599,12423,11277,12000,13811,Paid,£10.00 or over,"10,001-20,000"
Go Ape! Tree Top Adventure - Cannock Forest,WM,Staffordshire,Cannock Chase,Rural,Country Parks,Country Park,22033,20136,26668,33000,46430,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Forest of Dean,SW,Gloucestershire,FOREST OF DEAN,Rural,Country Parks,Country Park,25893,23216,26456,31000,36987,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Grizedale,NW,Cumbria,South Lakeland,Rural,Country Parks,Country Park,27307,24298,25541,35000,43686,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Itchen Valley,SE,Hampshire,,Rural,Country Parks,Country Park,13885,12716,11620,12000,12472,Paid,£10.00 or over,"10,001-20,000"
Go Ape! Tree Top Adventure - Leeds Castle,SE,Kent,Maidstone,Rural,Country Parks,Country Park,27772,24820,36826,40000,45534,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Matfen Hall,NE,Northumberland,Northumberland,Rural,Country Parks,Country Park,10707,9768,9684,11000,11578,Paid,£10.00 or over,"10,001-20,000"
Go Ape! Tree Top Adventure - Rivington,NW,Lancashire,Chorley,Rural,Country Parks,Country Park,12775,14568,13735,14000,15894,Paid,£10.00 or over,"10,001-20,000"
Go Ape! Tree Top Adventure - Sherwood,EM,Nottinghamshire,Newark and Sherwood,Rural,Country Parks,Country Park,25229,25063,31314,40000,58441,Paid,£10.00 or over,"50,001-100,000"
Go Ape! Tree Top Adventure - Thetford,EAST,Suffolk,FOREST HEATH,Rural,Country Parks,Country Park,30976,29252,57300,61000,65119,Paid,£10.00 or over,"50,001-100,000"
Go Ape! Tree Top Adventure - Trent Park,LON,,,Rural,Country Parks,Country Park,20000,22701,24416,34000,42024,Paid,£10.00 or over,"20,001-50,000"
Go Ape! Tree Top Adventure - Wendover Woods,SE,Buckinghamshire,Aylesbury Vale,Rural,Country Parks,Country Park,14955,12808,11416,12000,13786,Paid,£10.00 or over,"10,001-20,000"
Go Ape! Tree Top Adventure - Whinlatter Forest Park,NW,Cumbria,Allerdale,Rural,Country Parks,Country Park,11488,11262,10354,11000,12310,Paid,£10.00 or over,"10,001-20,000"
Go Ape! Tree Top Adventure - Wyre Forest,WM,Worcestershire,Wyre Forest,Rural,Country Parks,Country Park,11037,9877,9457,15000,23862,Paid,£10.00 or over,"20,001-50,000"
Hove Museum & Art Gallery,SE,East Sussex,Brighton and Hove,Urban,Museums & Art Galleries,Museum and / or Art Gallery,48061,48458,41764,36227,37848,Free,Free,"20,001-50,000"
Goddards House and Garden,Y&H,North Yorkshire,York,Rural,Gardens,Garden,9000,9371,15000,20861,24082,Paid,£5.00 to £7.49,"20,001-50,000"
Godstone Farm,SE,Surrey,Tandridge,Rural,Farms,Farm / Rare Breeds / Farm Animals,163787,196703,226485,258839,258155,Paid,£7.50 to £9.99,"Over 200,000"
Gold Hill Museum,SW,Dorset,North Dorset,Urban,Museums & Art Galleries,Museum and / or Art Gallery,9337,13064,20228,20000,20000,Free,Free,"10,001-20,000"
Gooderstone Water Gardens,EAST,Norfolk,Breckland,Rural,Gardens,Garden,10100,8208,11604,12016,12000,Paid,£5.00 to £7.49,"10,001-20,000"
Goodrich Castle,WM,Herefordshire,Herefordshire,Rural,Historic Properties,Castle / Fort,45465,37447,38262,38852,40409,Paid,£5.00 to £7.49,"20,001-50,000"
Gosport Ferry Scenic Solent Cruises,SE,Hampshire,Gosport,Coastal,Other,Other Historic / Scenic transport operator,4694,3702,4276,4083,3863,Paid,£10.00 or over,"10,000 or less"
Grafham Water Visitor Centre,EAST,Cambridgeshire,Huntingdon,Rural,Leisure / Theme Parks,Leisure / Theme Park,21000,245000,250000,250000,250000,Free,Free,"Over 200,000"
Graves Gallery,Y&H,SOUTH YORKSHIRE,Sheffield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,36624,41957,44314,56146,47530,Free,Free,"20,001-50,000"
Great Chalfield Manor,SW,Wiltshire,Wiltshire,Rural,Historic Properties,Historic House / House and Garden / Palace,19895,20217,17033,21122,21613,Paid,Charge - DK,"20,001-50,000"
Great Dunmow Maltings,EAST,Essex,Uttlesford,Urban,Other,Other,720,590,620,570,550,Paid,Under £3.00,"10,000 or less"
St Edmundsbury Cathedral,EAST,Suffolk,St Edmundsbury,Urban,Places of Worship,Place of Worship (still in use),97719,77918,67827,74341,79818,Free,Free,"50,001-100,000"
Great North Museum: Hancock,NE,Tyne and Wear,Newcastle upon Tyne,Urban,Museums & Art Galleries,Museum and / or Art Gallery,475441,430000,421410,491148,486815,Free,Free,"Over 200,000"
Great Yarmouth Row Houses,EAST,Norfolk,Great Yarmouth,Coastal,Historic Properties,Historic House / House and Garden / Palace,3140,2213,2219,2461,2342,Paid,£3.01 to £4.99,"10,000 or less"
Greater Manchester Fire Service Museum,NW,Greater Manchester,Rochdale,Urban,Museums & Art Galleries,Museum and / or Art Gallery,3889,3815,4079,3906,4259,Free,Free,"10,000 or less"
Greater Manchester Police Museum & Archives,NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10203,10041,8701,13968,17031,Free,Free,"10,001-20,000"
Green Howards Regimental Museum,Y&H,North Yorkshire,Richmondshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,10053,11000,12000,11000,10369,Paid,£3.01 to £4.99,"10,001-20,000"
Green Island Gardens,EAST,Essex,Tendring,Rural,Gardens,Garden,3000,3100,3162,3558,3700,Paid,£5.00 to £7.49,"10,000 or less"
Green's Windmill,EM,NOTTINGHAMSHIRE,Nottingham City,Urban,Visitor Centres,Heritage / Visitor Centre,18000,20310,23408,23750,24026,Free,Free,"20,001-50,000"
Greenway Garden,SW,Devon,Torbay,Rural,Gardens,Garden,88888,86424,95410,88709,100179,Paid,£7.50 to £9.99,"100,001-200,000"
Greys Court,SE,Oxfordshire,South Oxfordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,88697,90000,100000,117823,130268,Paid,£10.00 or over,"100,001-200,000"
